Número de candidatos votados - prefeito
Sigla;Código;Município;2004;2008;2012;2016;2020;
AC;1200013;Acrelândia;3;3;6;5;4;
AC;1200054;Assis Brasil;2;2;2;3;5;
AC;1200104;Brasiléia;2;3;4;2;3;
AC;1200138;Bujari;3;2;5;5;5;
AC;1200179;Capixaba;4;2;5;5;4;
AC;1200203;Cruzeiro do Sul;2;4;2;3;3;
AC;1200252;Epitaciolândia;3;4;5;3;4;
AC;1200302;Feijó;2;2;4;3;4;
AC;1200328;Jordão;3;2;3;3;5;
AC;1200336;Mâncio Lima;3;3;3;3;2;
AC;1200344;Manoel Urbano;2;4;3;4;2;
AC;1200351;Marechal Thaumaturgo;2;2;3;2;3;
AC;1200385;Plácido de Castro;5;3;2;4;4;
AC;1200393;Porto Walter;2;3;2;2;2;
AC;1200401;Rio Branco;3;4;6;4;7;
AC;1200427;Rodrigues Alves;2;3;;3;5;
AC;1200435;Santa Rosa do Purus;2;3;2;5;4;
AC;1200450;Senador Guiomard;2;2;3;4;5;
AC;1200500;Sena Madureira;4;2;3;4;2;
AC;1200609;Tarauacá;4;2;3;3;6;
AC;1200708;Xapuri;2;4;4;4;4;
AC;1200807;Porto Acre;5;6;3;4;5;
AL;2700102;Água Branca;2;4;2;3;4;
AL;2700201;Anadia;4;3;3;2;3;
AL;2700300;Arapiraca;2;3;3;4;7;
AL;2700409;Atalaia;3;4;5;5;4;
AL;2700508;Barra de Santo Antônio;3;3;4;3;2;
AL;2700607;Barra de São Miguel;4;3;2;4;4;
AL;2700706;Batalha;3;2;5;3;5;
AL;2700805;Belém;;4;2;3;2;
AL;2700904;Belo Monte;2;5;3;2;2;
AL;2701001;Boca da Mata;4;2;2;3;2;
AL;2701100;Branquinha;2;2;4;2;3;
AL;2701209;Cacimbinhas;3;2;2;2;2;
AL;2701308;Cajueiro;2;3;3;2;4;
AL;2701357;Campestre;4;3;3;2;2;
AL;2701407;Campo Alegre;2;2;4;3;2;
AL;2701506;Campo Grande;2;2;3;2;2;
AL;2701605;Canapi;3;3;3;2;3;
AL;2701704;Capela;3;3;4;2;3;
AL;2701803;Carneiros;2;3;3;3;2;
AL;2701902;Chã Preta;2;3;3;2;3;
AL;2702009;Coité do Nóia;2;2;2;2;4;
AL;2702108;Colônia Leopoldina;2;3;2;2;2;
AL;2702207;Coqueiro Seco;4;4;3;3;3;
AL;2702306;Coruripe;3;3;;3;2;
AL;2702355;Craíbas;3;3;2;3;3;
AL;2702405;Delmiro Gouveia;2;5;2;3;5;
AL;2702504;Dois Riachos;;2;;2;2;
AL;2702553;Estrela de Alagoas;3;3;4;2;2;
AL;2702603;Feira Grande;2;2;4;3;3;
AL;2702702;Feliz Deserto;2;3;4;2;3;
AL;2702801;Flexeiras;2;2;2;2;2;
AL;2702900;Girau do Ponciano;3;2;3;5;4;
AL;2703007;Ibateguara;4;3;2;3;4;
AL;2703106;Igaci;2;2;2;2;3;
AL;2703205;Igreja Nova;2;3;3;3;4;
AL;2703304;Inhapi;;4;2;3;4;
AL;2703403;Jacaré dos Homens;3;2;2;2;2;
AL;2703502;Jacuípe;2;3;4;3;3;
AL;2703601;Japaratinga;3;3;3;5;3;
AL;2703700;Jaramataia;3;2;3;2;2;
AL;2703759;Jequiá da Praia;2;2;2;2;4;
AL;2703809;Joaquim Gomes;4;3;3;5;2;
AL;2703908;Jundiá;3;3;2;;2;
AL;2704005;Junqueiro;2;3;3;3;2;
AL;2704104;Lagoa da Canoa;3;2;4;3;4;
